city,AQI,PM2.5,PM10,CO,NO2,SO2,O3,lng,lat,timestamp,空气质量,省份,所属省份空气质量排名
襄阳,100,75,85,0.7,53,10,47,112.2500928,32.22916859,2023-02-28,良好,湖北省,15
湘潭,110,83,105,0.9,31,4,40,112.9355556,27.83509505,2023-02-28,轻度污染,湖南省,17
孝感,31,18,24,0.5,2,7,98,113.9357344,30.92795478,2023-02-28,优级,湖北省,15
新乡,74,54,80,0.6,5,12,97,113.9126902,35.30725756,2023-02-28,良好,河南省,19
新余,42,25,42,0.7,8,11,96,114.9471174,27.82232156,2023-02-28,优级,江西省,5
忻州,101,73,152,0.9,54,12,37,112.7279388,38.46103057,2023-02-28,轻度污染,山西省,29
兴安盟,88,65,113,0.8,19,14,78,122.0481665,46.08375707,2023-02-28,良好,内蒙古自治区,26
邢台,95,71,139,1.1,57,12,27,114.5204868,37.0695312,2023-02-28,良好,河北省,25
徐州,52,33,53,0.3,18,7,99,117.1881066,34.27155343,2023-02-28,良好,江苏省,11
许昌,59,42,65,0.6,30,12,88,113.8353125,34.02673959,2023-02-28,良好,河南省,19
雅安,100,75,102,0.8,35,12,23,103.0093565,29.99971634,2023-02-28,良好,四川省,13
烟台,73,53,78,0.7,29,15,97,121.309555,37.53656156,2023-02-28,良好,山东省,21
盐城,87,64,83,0.8,31,7,86,120.1488718,33.37986188,2023-02-28,良好,江苏省,11
延安,64,46,69,0.7,31,12,44,109.5005098,36.60332035,2023-02-28,良好,陕西省,22
扬州,82,60,93,0.9,33,7,82,119.4277776,32.40850525,2023-02-28,良好,江苏省,11
阳江,79,58,83,0.9,31,26,84,111.9770098,21.8715173,2023-02-28,良好,广东省,9
阳泉,125,95,137,0.9,31,10,78,113.5692376,37.86952949,2023-02-28,轻度污染,山西省,29
伊春,118,89,129,0.7,30,17,34,128.9005796,47.74195924,2023-02-28,轻度污染,黑龙江,18
伊犁哈萨克州,110,67,170,1.7,55,7,17,81.29785353,43.9222481,2023-02-28,轻度污染,新疆维吾尔自治区,8
宜昌,74,41,97,0.8,42,22,68,111.3109811,30.73275782,2023-02-28,良好,湖北省,15
宜春,59,37,67,1.8,51,24,50,114.4000387,27.8111299,2023-02-28,良好,江西省,5
益阳,83,61,91,0.6,19,15,81,112.3665466,28.58808778,2023-02-28,良好,湖南省,17
鹰潭,52,26,53,0.5,22,3,60,117.0354502,28.2413096,2023-02-28,良好,江西省,5
营口,87,44,124,0.8,30,12,68,122.2333914,40.66865107,2023-02-28,良好,辽宁省,27
永州,68,49,73,1.0,22,3,99,111.6146477,26.43597165,2023-02-28,良好,湖南省,17
玉林,113,85,0,0.8,20,14,83,110.1516763,22.64397361,2023-02-28,轻度污染,广西壮族自治区,14
玉溪,64,46,50,0.9,27,6,14,102.5450679,24.37044713,2023-02-28,良好,云南省,6
岳阳,85,63,92,0.8,43,19,55,113.1461955,29.37800708,2023-02-28,良好,湖南省,17
云浮,73,53,65,0.7,13,8,122,112.050946,22.93797569,2023-02-28,良好,广东省,9
运城,203,153,205,1.5,44,17,28,111.0068537,35.03885948,2023-02-28,重度污染,山西省,29
枣庄,60,41,70,0.4,36,14,64,117.2793054,34.80788308,2023-02-28,良好,山东省,21
湛江,67,42,83,0.8,19,18,94,110.3650673,21.2574631,2023-02-28,良好,广东省,9
张家港,27,15,27,0.5,39,8,61,120.6272785,31.90781234,2023-02-28,优级,江苏省,11
张家界,68,49,67,0.7,34,33,101,110.4816202,29.12488935,2023-02-28,良好,湖南省,17
昭通,33,23,31,0.6,4,8,86,103.7250207,27.34063296,2023-02-28,优级,云南省,6
肇庆,67,48,76,0.7,22,13,108,112.4796534,23.07866328,2023-02-28,良好,广东省,9
镇江,73,53,66,1.0,21,11,83,119.4558354,32.20440944,2023-02-28,良好,江苏省,11
郑州,85,63,97,0.7,36,10,72,113.6496438,34.75661006,2023-02-28,良好,河南省,19
中卫,164,72,278,0.7,19,8,67,105.1967542,37.52112419,2023-02-28,中度污染,宁夏回族自治区,24
重庆,42,29,41,0.8,21,5,79,106.530635,29.54460611,2023-02-28,优级,重庆市,3
珠海,74,54,79,0.6,27,16,103,113.562447,22.25691465,2023-02-28,良好,广东省,9
株洲,128,97,105,0.7,26,14,60,113.1316953,27.82743293,2023-02-28,轻度污染,湖南省,17
驻马店,78,57,96,1.0,23,20,72,114.0491535,32.98315815,2023-02-28,良好,河南省,19
资阳,30,12,30,1.8,14,8,47,112.3431214,28.69406943,2023-02-28,优级,四川省,13
淄博,104,78,132,1.1,42,22,69,118.0591343,36.80468485,2023-02-28,轻度污染,山东省,21
自贡,70,51,55,0.7,42,13,24,104.7760713,29.35915689,2023-02-28,良好,四川省,13
亳州,63,45,72,0.5,13,17,79,115.7879282,33.87121057,2023-02-28,良好,安徽省,10
衢州,49,24,49,0.3,23,9,62,118.8758417,28.95691045,2023-02-28,优级,浙江省,4
泸州,147,112,137,0.9,52,13,15,105.4439703,28.8959298,2023-02-28,轻度污染,四川省,13
漯河,107,80,114,0.8,49,7,62,114.0460614,33.57627869,2023-02-28,轻度污染,河南省,19
濮阳,67,48,74,0.5,30,8,61,115.0266274,35.75329789,2023-02-28,良好,河南省,19
